scenario_id,reviewer_id,review_round,oracle_decision,intent_preserved,complete_artifact_tree,no_unjustified_content,syntactically_valid,compilation_result,tests_result,assigned_mapping,assigned_change_type,comments,reviewed_at_utc
scenario_10,codex_reviewer_2,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,No unsupported four-argument constructor remains; the resulting Person API is directly traceable to the two branches.,2026-08-12T16:27:44Z
scenario_12,codex_reviewer_2,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,behavioral,Every helper referenced by OrderService is present and the corrected ValidationException filename matches its declaration.,2026-08-12T16:27:44Z
scenario_14,codex_reviewer_2,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,The left fullName change is now propagated into PersonalInfo without disturbing ContactDetails.,2026-08-12T16:27:44Z
scenario_15,codex_reviewer_2,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,ContactInfo now incorporates the compatible phone-accessor rename from the left branch.,2026-08-12T16:27:44Z
scenario_17,codex_reviewer_2,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,The filename and public type are consistent and the declared resolution explicitly selects the right decomposition over removal.,2026-08-12T16:27:44Z
scenario_21,codex_reviewer_2,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,birthDate no longer survives the left-side removal and the remaining identity/contact split is complete.,2026-08-12T16:27:44Z
scenario_24,codex_reviewer_2,2,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,city is now retained in Location alongside street while Client preserves the person identity fields.,2026-08-12T16:27:44Z
scenario_26,codex_reviewer_2,2,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,Customer.java and Order.java form a complete type-consistent oracle for the selected field changes.,2026-08-12T16:27:44Z
scenario_31,codex_reviewer_2,2,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,"Client now carries email, Purchase carries orderDate, and all three artifacts required by the decomposition are present.",2026-08-12T16:27:44Z
scenario_32,codex_reviewer_2,2,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,Learner restores id and fullName while Course and StudentDetails retain the complementary branch-defined artifacts.,2026-08-12T16:27:44Z
scenario_34,codex_reviewer_2,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,behavioral,The oracle retains all left-side tier thresholds and applies the right-side maximum cap to the computed discount.,2026-08-12T16:27:44Z
scenario_39,codex_reviewer_2,2,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,behavioral,The revised six-file tree preserves both branch feature sets under documented conflict choices and removes the unsupported compromise policies.,2026-08-12T16:27:44Z
