tool_name,scenario_id,execution_status,status_detail,started_at_utc,finished_at_utc,duration_seconds,exit_code,timeout_seconds,command_json,working_directory,stdout_path,stderr_path,raw_output_path,normalized_output_path,tool_version,tool_artifact_sha256,java_version,python_version,operating_system,architecture,input_checksums_json,oracle_checksum,raw_output_checksum,normalized_output_checksum
FSTMerge,scenario_1,completed_clean,process completed with a readable output tree,2026-08-12T19:59:00Z,2026-08-12T19:59:00Z,0.243222,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_1/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_1/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_1/stdout.log,attempts/FSTMerge/scenario_1/stderr.log,attempts/FSTMerge/scenario_1/raw_output,attempts/FSTMerge/scenario_1/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116"", ""left"": ""b0f3c856e5c7af452ec8acfdfcee9f69f8539eef6d2ad3a3bdfb29e7618f1a4a"", ""right"": ""0a6a34d0a5953c98b15df2a69759bc8f266b3422bb7f52818bec6f4ad54e1326""}",0a6a34d0a5953c98b15df2a69759bc8f266b3422bb7f52818bec6f4ad54e1326,acec10b5798a9d3b94b2e33a256c765a826b7d26a297d69d32e9b571edba0beb,acec10b5798a9d3b94b2e33a256c765a826b7d26a297d69d32e9b571edba0beb
FSTMerge,scenario_2,completed_clean,process completed with a readable output tree,2026-08-12T19:59:01Z,2026-08-12T19:59:01Z,0.235167,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_2/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_2/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_2/stdout.log,attempts/FSTMerge/scenario_2/stderr.log,attempts/FSTMerge/scenario_2/raw_output,attempts/FSTMerge/scenario_2/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116"", ""left"": ""595eef96e76559425415d2e4e904d6c88c57e2025f17e3eef0a4d9999d5739b9"", ""right"": ""328652c26b235bba438e4be81cad0b748c2c148e18a449a8067a97fd979018cc""}",4324beb8512b909f7f0f5fb33892bed6ec24aaf5b5b91fead31742a921b43a81,17d97bca63780461a068bdb39fc6702ec597276e27991657e9830c896b09efa4,17d97bca63780461a068bdb39fc6702ec597276e27991657e9830c896b09efa4
FSTMerge,scenario_3,completed_clean,process completed with a readable output tree,2026-08-12T19:59:02Z,2026-08-12T19:59:02Z,0.234446,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_3/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_3/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_3/stdout.log,attempts/FSTMerge/scenario_3/stderr.log,attempts/FSTMerge/scenario_3/raw_output,attempts/FSTMerge/scenario_3/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116"", ""left"": ""b14fe3272908d7a32b438de8a071b4dee3243f548f0ad6ec0c2119caf3d8adf1"", ""right"": ""8df686e951086a10414e58ec932dbac5e829d0b508a7bc0f44706a9941ad1100""}",970ca44bc6410e3f3c6bed659d33344c0b2ccdc185e7b2959b019ef006211af9,292991c37365a9bb20f5237375fb99bd61eb9717d01d041f659c637ed15cbb5a,292991c37365a9bb20f5237375fb99bd61eb9717d01d041f659c637ed15cbb5a
FSTMerge,scenario_4,completed_clean,process completed with a readable output tree,2026-08-12T19:59:02Z,2026-08-12T19:59:03Z,0.229518,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_4/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_4/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_4/stdout.log,attempts/FSTMerge/scenario_4/stderr.log,attempts/FSTMerge/scenario_4/raw_output,attempts/FSTMerge/scenario_4/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116"", ""left"": ""7e03295f40d4cfbfbd5025dd9b1f15231753413c8d785111e606fbc700c88500"", ""right"": ""288240cd714efa05bbcd5120cbe8b3091118ff7c9fdbab9d58353628d4d32c27""}",e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116,055bb37ce02b9d8374973209ea9bd584373cb0671848ebe2be0e39fa1b702e36,055bb37ce02b9d8374973209ea9bd584373cb0671848ebe2be0e39fa1b702e36
FSTMerge,scenario_5,completed_clean,process completed with a readable output tree,2026-08-12T19:59:03Z,2026-08-12T19:59:03Z,0.196865,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_5/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_5/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_5/stdout.log,attempts/FSTMerge/scenario_5/stderr.log,attempts/FSTMerge/scenario_5/raw_output,attempts/FSTMerge/scenario_5/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116"", ""left"": ""59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26"", ""right"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116""}",e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116,59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26,59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26
FSTMerge,scenario_6,completed_clean,process completed with a readable output tree,2026-08-12T19:59:04Z,2026-08-12T19:59:04Z,0.192933,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_6/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_6/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_6/stdout.log,attempts/FSTMerge/scenario_6/stderr.log,attempts/FSTMerge/scenario_6/raw_output,attempts/FSTMerge/scenario_6/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26"", ""left"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116"", ""right"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116""}",e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116,e615ce9339e59c20c69a5801c6e450e08dcf94418a58d3c4498d5853db523b6f,e615ce9339e59c20c69a5801c6e450e08dcf94418a58d3c4498d5853db523b6f
FSTMerge,scenario_7,completed_clean,process completed with a readable output tree,2026-08-12T19:59:05Z,2026-08-12T19:59:05Z,0.205328,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_7/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_7/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_7/stdout.log,attempts/FSTMerge/scenario_7/stderr.log,attempts/FSTMerge/scenario_7/raw_output,attempts/FSTMerge/scenario_7/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""11542c485e169ca902ac612b2c033c427399f26f5716a9fe868460d13bc6f532"", ""left"": ""e1be87753e7074386186e3db639c8d34570877264d50db5f805bb53505d3ee95"", ""right"": ""d26688a5f836cda139c7d2bb02209e5dd59485022715e536577de1a1a051ced4""}",3ecd7f231c07fba33ad5bea82ae41fa8f505b013280f9ab68ddb17df601347cf,34b875a56b59374740431425983d9165ec2eabda7bc399676ecebde5ae8a31f6,34b875a56b59374740431425983d9165ec2eabda7bc399676ecebde5ae8a31f6
FSTMerge,scenario_8,completed_clean,process completed with a readable output tree,2026-08-12T19:59:05Z,2026-08-12T19:59:06Z,0.218027,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_8/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_8/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_8/stdout.log,attempts/FSTMerge/scenario_8/stderr.log,attempts/FSTMerge/scenario_8/raw_output,attempts/FSTMerge/scenario_8/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""13dd50cae1020ec21d5113a4af8fd5d4bec3374457524407c994dd6576844a87"", ""left"": ""11542c485e169ca902ac612b2c033c427399f26f5716a9fe868460d13bc6f532"", ""right"": ""c1883fc2dccac6ae4f3513e5dc3d021cb2e8e83bac6b7d660e3c2a66749d0874""}",e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116,d24f097f669a6f47007f477c19c93d29bbb2c0dd6bdd8ed52a1d983d1e951940,d24f097f669a6f47007f477c19c93d29bbb2c0dd6bdd8ed52a1d983d1e951940
FSTMerge,scenario_9,completed_clean,process completed with a readable output tree,2026-08-12T19:59:06Z,2026-08-12T19:59:06Z,0.214511,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_9/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_9/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_9/stdout.log,attempts/FSTMerge/scenario_9/stderr.log,attempts/FSTMerge/scenario_9/raw_output,attempts/FSTMerge/scenario_9/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116"", ""left"": ""8e39181775e69492a6c546ddca7e9befb67fe5358296a6d8fed687673a3fa05f"", ""right"": ""96b02d42fc25384627cf11d5b9f5904dcdb526667f5da42a9f1104953e4a1cc9""}",9b4776f6e52f9d6760563591c781f160ef5bd5e6b2cf8fd4482243fd8c6ac28d,0608bebedac76ac06afc0684052829c4cee374594efa2af91327121de279c03a,0608bebedac76ac06afc0684052829c4cee374594efa2af91327121de279c03a
FSTMerge,scenario_10,completed_clean,process completed with a readable output tree,2026-08-12T19:59:07Z,2026-08-12T19:59:07Z,0.190522,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_10/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/canonical_run_2/attempts/FSTMerge/scenario_10/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_10/stdout.log,attempts/FSTMerge/scenario_10/stderr.log,attempts/FSTMerge/scenario_10/raw_output,attempts/FSTMerge/scenario_10/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""912cf5b4048ac13af10cea5c90518ae09f0295d870c42bc9801caab4353c24a6"", ""left"": ""b65ef2bb461f845ca476727057dfb7550ef40ff07bc36cd76f5d4b1272fb265f"", ""right"": ""5cddaccbeea94efa3eb1415761038704d8e70c70e4681054d9d651cdfcd5a2d9""}",71948ff734c0e0575627c74a0bcdce74ffda46f4c0c30159ffe3bc3660b2c942,ea2145fb5849ecbcb57b90cb15d1b300d750aae600932388c8abf8fc70929515,ea2145fb5849ecbcb57b90cb15d1b300d750aae600932388c8abf8fc70929515
