tool_name,scenario_id,deterministic,different_fields,raw_output_checksum_changed,primary_status,repeat_status,primary_normalized_checksum,repeat_normalized_checksum,adjudication
FSTMerge,scenario_1,True,,False,completed_clean,completed_clean,acec10b5798a9d3b94b2e33a256c765a826b7d26a297d69d32e9b571edba0beb,acec10b5798a9d3b94b2e33a256c765a826b7d26a297d69d32e9b571edba0beb,not_required
FSTMerge,scenario_10,True,,False,completed_clean,completed_clean,ea2145fb5849ecbcb57b90cb15d1b300d750aae600932388c8abf8fc70929515,ea2145fb5849ecbcb57b90cb15d1b300d750aae600932388c8abf8fc70929515,not_required
FSTMerge,scenario_11,True,,False,completed_clean,completed_clean,7fd3f67878ca7e3fdb0a50b1d15c100892fd1ca4425315bfaff725808a2c263f,7fd3f67878ca7e3fdb0a50b1d15c100892fd1ca4425315bfaff725808a2c263f,not_required
FSTMerge,scenario_17,True,,False,completed_clean,completed_clean,800ed81a28ff0c1fcbaaade98a40b9e4ce0b81c366fc9aa9d7f004280def5979,800ed81a28ff0c1fcbaaade98a40b9e4ce0b81c366fc9aa9d7f004280def5979,not_required
FSTMerge,scenario_23,True,,False,completed_clean,completed_clean,bd191ac3ca65b6e3be29ceed1b5c665a44a15db52493e050f9b2f965c079ca60,bd191ac3ca65b6e3be29ceed1b5c665a44a15db52493e050f9b2f965c079ca60,not_required
FSTMerge,scenario_30,True,,False,completed_clean,completed_clean,4c2952370ad8e508c61d457b5bf73a9892c3b2429d3eeabe2aae1932e9569c30,4c2952370ad8e508c61d457b5bf73a9892c3b2429d3eeabe2aae1932e9569c30,not_required
FSTMerge,scenario_38,True,,False,completed_clean,completed_clean,fe4fa444c145a6ffe65b505f4bd6c8516e6a6836f27305e6a74d870fe2d24188,fe4fa444c145a6ffe65b505f4bd6c8516e6a6836f27305e6a74d870fe2d24188,not_required
FSTMerge,scenario_5,True,,False,completed_clean,completed_clean,59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26,59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26,not_required
FSTMerge,scenario_6,True,,False,completed_clean,completed_clean,e615ce9339e59c20c69a5801c6e450e08dcf94418a58d3c4498d5853db523b6f,e615ce9339e59c20c69a5801c6e450e08dcf94418a58d3c4498d5853db523b6f,not_required
IntelliMerge,scenario_1,True,,True,invalid_output,invalid_output,,,not_required
IntelliMerge,scenario_10,True,,False,completed_clean,completed_clean,b65ef2bb461f845ca476727057dfb7550ef40ff07bc36cd76f5d4b1272fb265f,b65ef2bb461f845ca476727057dfb7550ef40ff07bc36cd76f5d4b1272fb265f,not_required
IntelliMerge,scenario_11,True,,False,completed_conflicted,completed_conflicted,d6fe2134ab1cdeab3fce6aaa035de02255842806e1af62208d880c092972fd4c,d6fe2134ab1cdeab3fce6aaa035de02255842806e1af62208d880c092972fd4c,not_required
IntelliMerge,scenario_17,True,,True,invalid_output,invalid_output,,,not_required
IntelliMerge,scenario_23,True,,False,completed_conflicted,completed_conflicted,1f3b7e8d827bf2b0268c47438e70aa69165f449edc7e1c8e101c10458126dfe4,1f3b7e8d827bf2b0268c47438e70aa69165f449edc7e1c8e101c10458126dfe4,not_required
IntelliMerge,scenario_30,True,,True,completed_clean,completed_clean,fb4e0a503f1fcd80df36771966e527e2e0364e4d800a6c94d99df2f89190de8d,fb4e0a503f1fcd80df36771966e527e2e0364e4d800a6c94d99df2f89190de8d,not_required
IntelliMerge,scenario_38,True,,False,completed_conflicted,completed_conflicted,a5cd9b54596533327519e7e393ac0ec3c5144e71b39b297257901bc055d940de,a5cd9b54596533327519e7e393ac0ec3c5144e71b39b297257901bc055d940de,not_required
IntelliMerge,scenario_5,True,,False,completed_clean,completed_clean,59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26,59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26,not_required
IntelliMerge,scenario_6,True,,False,completed_clean,completed_clean,e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116,e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116,not_required
JDime,scenario_1,True,,False,invalid_output,invalid_output,,,not_required
JDime,scenario_10,True,,False,invalid_output,invalid_output,,,not_required
JDime,scenario_11,True,,False,invalid_output,invalid_output,,,not_required
JDime,scenario_17,True,,False,completed_clean,completed_clean,59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26,59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26,not_required
JDime,scenario_23,True,,False,invalid_output,invalid_output,,,not_required
JDime,scenario_30,True,,False,invalid_output,invalid_output,,,not_required
JDime,scenario_38,True,,False,invalid_output,invalid_output,,,not_required
JDime,scenario_5,True,,False,completed_clean,completed_clean,59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26,59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26,not_required
JDime,scenario_6,True,,False,invalid_output,invalid_output,,,not_required
