scenario_id,scenario_number,mapping,change_type,fstmerge_status,fstmerge_precision,fstmerge_recall,fstmerge_f1_score,fstmerge_sequence_agreement,fstmerge_exact_oracle_match,fstmerge_syntactic_valid,fstmerge_complete_textual_resolution,intellimerge_status,intellimerge_precision,intellimerge_recall,intellimerge_f1_score,intellimerge_sequence_agreement,intellimerge_exact_oracle_match,intellimerge_syntactic_valid,intellimerge_complete_textual_resolution,jdime_status,jdime_precision,jdime_recall,jdime_f1_score,jdime_sequence_agreement,jdime_exact_oracle_match,jdime_syntactic_valid,jdime_complete_textual_resolution
scenario_1,1,1:1,structural,completed_clean,0.20675105485232068,0.98,0.34146341463414637,0.20675105485232068,False,True,False,invalid_output,,,,,False,,False,invalid_output,,,,,False,,False
scenario_2,2,1:1,structural,completed_clean,0.391304347826087,0.72,0.5070422535211268,0.391304347826087,False,True,False,completed_clean,0.88,0.88,0.88,0.88,False,True,False,invalid_output,,,,,False,,False
scenario_3,3,1:1,structural,completed_clean,0.336283185840708,0.76,0.4662576687116564,0.3185840707964602,False,True,False,completed_conflicted,0.8909090909090909,0.98,0.9333333333333333,0.8909090909090909,False,False,False,invalid_output,,,,,False,,False
scenario_4,4,1:1,structural,completed_clean,0.33043478260869563,0.76,0.4606060606060605,0.33043478260869563,False,True,False,completed_conflicted,0.6301369863013698,0.92,0.7479674796747968,0.6301369863013698,False,False,False,invalid_output,,,,,False,,False
scenario_5,5,1:1,structural,completed_clean,,0.0,,0.0,False,True,False,completed_clean,,0.0,,0.0,False,True,False,completed_clean,,0.0,,0.0,False,True,False
scenario_6,6,1:1,structural,completed_clean,0.42857142857142855,0.72,0.5373134328358209,0.42857142857142855,False,True,False,completed_clean,1.0,1.0,1.0,1.0,True,True,True,invalid_output,,,,,False,,False
scenario_7,7,1:1,structural,completed_clean,0.3645833333333333,0.7291666666666666,0.486111111111111,0.3645833333333333,False,True,False,completed_conflicted,0.75,0.5625,0.6428571428571429,0.5416666666666666,False,False,False,invalid_output,,,,,False,,False
scenario_8,8,1:1,structural,completed_clean,0.40404040404040403,0.8,0.5369127516778524,0.31313131313131315,False,True,False,completed_conflicted,0.7903225806451613,0.98,0.8749999999999999,0.7903225806451613,False,False,False,invalid_output,,,,,False,,False
scenario_9,9,1:1,structural,completed_clean,0.3229166666666667,0.6739130434782609,0.4366197183098592,0.3229166666666667,False,True,False,completed_clean,0.8888888888888888,0.34782608695652173,0.5,0.30434782608695654,False,True,False,invalid_output,,,,,False,,False
scenario_10,10,1:1,structural,completed_clean,0.4,0.7058823529411765,0.5106382978723405,0.4,False,True,False,completed_clean,1.0,1.0,1.0,1.0,True,True,True,invalid_output,,,,,False,,False
