tool_name,scenario_id,mapping,change_type,execution_status,true_positives,false_positives,false_negatives,precision,recall,f1_score,f1_rounded_2,rounded_score_cell_count,missing_files,extra_files,exact_oracle_match,complete_textual_resolution
FSTMerge,scenario_1,1:1,structural,completed_clean,49,188,1,0.20675105485232068,0.98,0.34146341463414637,0.34,1,,People.java;Person.java,False,False
FSTMerge,scenario_2,1:1,structural,completed_clean,36,56,14,0.391304347826087,0.72,0.5070422535211268,0.51,2,,,False,False
FSTMerge,scenario_3,1:1,structural,completed_clean,38,75,12,0.336283185840708,0.76,0.4662576687116564,0.47,5,,,False,False
FSTMerge,scenario_4,1:1,structural,completed_clean,38,77,12,0.33043478260869563,0.76,0.4606060606060605,0.46,1,,,False,False
FSTMerge,scenario_5,1:1,structural,completed_clean,0,0,50,,0.0,,,0,,,False,False
FSTMerge,scenario_6,1:1,structural,completed_clean,36,48,14,0.42857142857142855,0.72,0.5373134328358209,0.54,3,,,False,False
FSTMerge,scenario_7,1:1,structural,completed_clean,35,61,13,0.3645833333333333,0.7291666666666666,0.486111111111111,0.49,1,,,False,False
FSTMerge,scenario_8,1:1,structural,completed_clean,40,59,10,0.40404040404040403,0.8,0.5369127516778524,0.54,3,,,False,False
FSTMerge,scenario_9,1:1,structural,completed_clean,31,65,15,0.3229166666666667,0.6739130434782609,0.4366197183098592,0.44,3,,,False,False
FSTMerge,scenario_10,1:1,structural,completed_clean,36,54,15,0.4,0.7058823529411765,0.5106382978723405,0.51,2,,,False,False
FSTMerge,scenario_11,1:1,behavioral,completed_clean,89,75,24,0.5426829268292683,0.7876106194690266,0.6425992779783395,0.64,4,,,False,False
FSTMerge,scenario_12,1:N,behavioral,completed_clean,102,44,99,0.6986301369863014,0.5074626865671642,0.5878962536023055,0.59,1,OrderService.java;ShippingValidator.java;ValidationException.java,ValidationExeption.java,False,False
FSTMerge,scenario_13,1:N,structural,completed_clean,50,107,4,0.3184713375796178,0.9259259259259259,0.47393364928909953,0.47,5,,Person.java,False,False
FSTMerge,scenario_14,1:N,structural,completed_clean,42,144,9,0.22580645161290322,0.8235294117647058,0.35443037974683544,0.35,1,,Person.java,False,False
FSTMerge,scenario_15,1:N,structural,completed_clean,47,125,4,0.27325581395348836,0.9215686274509803,0.42152466367713,0.42,2,,Person.java,False,False
FSTMerge,scenario_16,1:N,structural,completed_clean,55,114,5,0.3254437869822485,0.9166666666666666,0.4803493449781659,0.48,3,,PersonalData.java,False,False
FSTMerge,scenario_17,1:N,structural,completed_clean,48,32,2,0.6,0.96,0.7384615384615384,0.74,1,,Person.java,False,False
FSTMerge,scenario_18,1:N,structural,completed_clean,49,103,2,0.3223684210526316,0.9607843137254902,0.48275862068965514,0.48,3,,Person.java,False,False
FSTMerge,scenario_19,1:N,structural,completed_clean,41,120,11,0.2546583850931677,0.7884615384615384,0.3849765258215962,0.38,2,,Person.java,False,False
FSTMerge,scenario_20,1:N,structural,completed_clean,56,135,5,0.2931937172774869,0.9180327868852459,0.4444444444444444,0.44,3,,Person.java,False,False
