tool_name,mapping,change_type,expected_n,applicable_n,unavailable_n,status_completed_clean_n,status_completed_clean_rate,status_completed_conflicted_n,status_completed_conflicted_rate,status_invalid_output_n,status_invalid_output_rate,status_crash_n,status_crash_rate,status_timeout_n,status_timeout_rate,status_setup_error_n,status_setup_error_rate,macro_precision_n,macro_precision_mean,macro_precision_median,macro_precision_sample_sd,macro_precision_min,macro_precision_q1,macro_precision_q3,macro_precision_max,macro_recall_n,macro_recall_mean,macro_recall_median,macro_recall_sample_sd,macro_recall_min,macro_recall_q1,macro_recall_q3,macro_recall_max,macro_f1_score_n,macro_f1_score_mean,macro_f1_score_median,macro_f1_score_sample_sd,macro_f1_score_min,macro_f1_score_q1,macro_f1_score_q3,macro_f1_score_max,macro_sequence_agreement_n,macro_sequence_agreement_mean,macro_sequence_agreement_median,macro_sequence_agreement_sample_sd,macro_sequence_agreement_min,macro_sequence_agreement_q1,macro_sequence_agreement_q3,macro_sequence_agreement_max,micro_true_positives,micro_false_positives,micro_false_negatives,micro_precision,micro_recall,micro_f1_score,exact_oracle_match_n,exact_oracle_match_rate,complete_textual_resolution_n,complete_textual_resolution_rate,end_to_end_f1_zero_unavailable
FSTMerge,1:1,structural,10,10,0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.3538761337488493,0.3645833333333333,0.06633443077893336,0.20675105485232068,0.33043478260869563,0.4,0.42857142857142855,10,0.6848962063086104,0.7245833333333334,0.25510010670811295,0.0,0.7094117647058824,0.76,0.98,9,0.4758849676977749,0.486111111111111,0.06094878464658272,0.34146341463414637,0.4606060606060605,0.5106382978723405,0.5373134328358209,10,0.3076276997786305,0.32667572463768113,0.12432971376714654,0.0,0.3144945025475999,0.38462409420289856,0.42857142857142855,339,683,156,0.33170254403131116,0.6848484848484848,0.4469347396176664,0,0.0,0,0.0,0.4282964709279974
FSTMerge,1:1,behavioral,3,3,0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.49570912375790427,0.5426829268292683,0.09273266994800114,0.3888888888888889,0.4657859078590786,0.549119241192412,0.5555555555555556,3,0.6500966817687823,0.6363636363636364,0.13118763069607045,0.5263157894736842,0.5813397129186603,0.7119871279163315,0.7876106194690266,3,0.5552994797361784,0.5405405405405405,0.0809359539713659,0.4827586206896552,0.5116495806150978,0.59156990925944,0.6425992779783395,3,0.4663861550896211,0.47368421052631576,0.07411820651377761,0.3888888888888889,0.43128654970760233,0.5051347881899871,0.5365853658536586,106,94,37,0.53,0.7412587412587412,0.6180758017492711,0,0.0,0,0.0,0.5552994797361784
FSTMerge,1:N,structural,10,10,0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.31713092936968224,0.3013587634006482,0.10520366382326184,0.22580645161290322,0.2593077423082479,0.3213941501843781,0.6,10,0.8809863832478777,0.9173497267759563,0.07217769209373966,0.7647058823529411,0.8251942286348501,0.9248366013071895,0.9607843137254902,10,0.4604165828862333,0.44256120527306964,0.10725040192787855,0.35443037974683544,0.3941135602854796,0.4787454210558993,0.7384615384615384,10,0.30913347940911245,0.29080445441701985,0.10834868158108345,0.22043010752688172,0.2531958688429871,0.31486758297016426,0.6,471,1100,63,0.29980903882877147,0.8820224719101124,0.44750593824228024,0,0.0,0,0.0,0.4604165828862333
FSTMerge,1:N,behavioral,3,3,0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.4841524828941886,0.49295774647887325,0.21901307962986502,0.2608695652173913,0.3769136558481323,0.5957939417325873,0.6986301369863014,3,0.48127544097693353,0.5074626865671642,0.16970401539340324,0.3,0.40373134328358207,0.5719131614654003,0.6363636363636364,3,0.4741738588665738,0.5555555555555555,0.1697371057121422,0.27906976744186046,0.41731266149870794,0.5717259045789305,0.5878962536023055,3,0.4157351637403917,0.4788732394366197,0.13487718237798013,0.2608695652173913,0.3698714023270055,0.4931679630018919,0.5074626865671642,143,97,133,0.5958333333333333,0.5181159420289855,0.5542635658914729,0,0.0,0,0.0,0.4741738588665738
FSTMerge,N:N,structural,10,10,0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.2420440381643889,0.2848222156920365,0.08827936868064187,0.09497206703910614,0.19619985925404643,0.30806084159742697,0.327217125382263,10,0.7591702641377025,0.7934426229508197,0.16482127736258212,0.35294117647058826,0.7023076923076923,0.8603001644736843,0.9344262295081968,10,0.3627931973084779,0.41693483507642803,0.11964852442232422,0.16143497757847536,0.3137254901960784,0.45833333333333337,0.4731182795698924,10,0.23395198107195303,0.2764227642276423,0.08683891689700414,0.09497206703910614,0.1796622097114708,0.3030583873957368,0.3180428134556575,506,1540,139,0.24731182795698925,0.7844961240310078,0.37606837606837606,0,0.0,0,0.0,0.3627931973084779
FSTMerge,N:N,behavioral,3,3,0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.6190947011181871,0.625,0.03228008025349284,0.5842696629213483,0.6046348314606742,0.6365072202166064,0.648014440433213,3,0.7470768723292345,0.8140589569160998,0.15050153364941346,0.5747126436781609,0.6943858002971304,0.8332589866547712,0.8524590163934426,3,0.6712479229146396,0.6933333333333332,0.06431275631988985,0.5988023952095808,0.646067864271457,0.7074706867671692,0.721608040201005,3,0.48513474303019394,0.47126436781609193,0.033615250477528585,0.4606741573033708,0.46596926255973137,0.49736503589360553,0.5234657039711191,511,292,165,0.6363636363636364,0.7559171597633136,0.6910074374577417,0,0.0,0,0.0,0.6712479229146396
IntelliMerge,1:1,structural,10,9,1,5,0.5,4,0.4,1,0.1,0,0.0,0,0.0,0,0.0,8,0.8537821933430638,0.8844444444444444,0.12585286118527653,0.6301369863013698,0.780241935483871,0.9181818181818182,1.0,9,0.741147342995169,0.92,0.3597385822559725,0.0,0.5625,0.98,1.0,8,0.8223947444831591,0.8775,0.17856245080261854,0.5,0.7216898954703833,0.95,1.0,9,0.6708203500676939,0.7903225806451613,0.3401897098833617,0.0,0.5416666666666666,0.8909090909090909,1.0,332,63,113,0.8405063291139241,0.7460674157303371,0.7904761904761904,2,0.2,2,0.2,0.6579157955865272
IntelliMerge,1:1,behavioral,3,3,0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.7074992502624081,0.6875,0.08764822610953324,0.631578947368421,0.6595394736842105,0.7454594017094017,0.8034188034188035,3,0.8211457848160224,0.831858407079646,0.1844439974961573,0.631578947368421,0.7317186772240335,0.915929203539823,1.0,3,0.7545950221770207,0.8148148148148148,0.10654283444026003,0.631578947368421,0.7231968810916178,0.8161030595813203,0.817391304347826,3,0.7074992502624081,0.6875,0.08764822610953324,0.631578947368421,0.6595394736842105,0.7454594017094017,0.8034188034188035,117,35,26,0.7697368421052632,0.8181818181818182,0.7932203389830509,0,0.0,0,0.0,0.7545950221770207
IntelliMerge,1:N,structural,10,0,10,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0,0,,,,0,0.0,0,0.0,0.0
IntelliMerge,1:N,behavioral,3,2,1,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,2,0.4941860465116279,0.4941860465116279,0.008222171874262196,0.4883720930232558,0.49127906976744184,0.49709302325581395,0.5,2,0.5659090909090909,0.5659090909090909,0.26034386034595614,0.38181818181818183,0.4738636363636364,0.6579545454545455,0.75,2,0.5142857142857142,0.5142857142857142,0.12121830534626529,0.42857142857142855,0.4714285714285714,0.557142857142857,0.6,2,0.3515151515151515,0.3515151515151515,0.1628488344550837,0.23636363636363636,0.29393939393939394,0.40909090909090906,0.4666666666666667,36,37,39,0.4931506849315068,0.48,0.48648648648648646,0,0.0,0,0.0,0.3428571428571428
