DatabaseConnection.java:4:1: compiler.err.illegal.start.of.type
DatabaseConnection.java:4:8: compiler.err.expected: token.identifier
DatabaseConnection.java:4:9: compiler.err.illegal.start.of.type
DatabaseConnection.java:4:20: compiler.err.expected: token.identifier
DatabaseConnection.java:4:30: compiler.err.expected: token.identifier
DatabaseConnection.java:4:39: compiler.err.expected: token.identifier
DatabaseConnection.java:4:42: compiler.err.expected: token.identifier
DatabaseConnection.java:4:48: compiler.err.expected: token.identifier
DatabaseConnection.java:4:54: compiler.err.expected: token.identifier
DatabaseConnection.java:4:69: compiler.err.expected: token.identifier
DatabaseConnection.java:4:75: compiler.err.expected: token.identifier
DatabaseConnection.java:4:87: compiler.err.expected: token.identifier
DatabaseConnection.java:4:92: compiler.err.expected: token.identifier
DatabaseConnection.java:5:21: compiler.err.expected: ';'
DatabaseConnection.java:7:9: compiler.err.expected: token.identifier
DatabaseConnection.java:8:20: compiler.err.expected: token.identifier
DatabaseConnection.java:8:30: compiler.err.expected: token.identifier
DatabaseConnection.java:8:39: compiler.err.expected: token.identifier
DatabaseConnection.java:8:42: compiler.err.expected: token.identifier
DatabaseConnection.java:8:48: compiler.err.expected: token.identifier
DatabaseConnection.java:8:54: compiler.err.expected: token.identifier
DatabaseConnection.java:8:69: compiler.err.expected: token.identifier
DatabaseConnection.java:8:75: compiler.err.expected: token.identifier
DatabaseConnection.java:8:87: compiler.err.expected: token.identifier
DatabaseConnection.java:8:93: compiler.err.expected: token.identifier
DatabaseConnection.java:8:117: compiler.err.expected: token.identifier
DatabaseConnection.java:10:8: compiler.err.expected: token.identifier
DatabaseConnection.java:10:9: compiler.err.illegal.start.of.type
DatabaseConnection.java:10:20: compiler.err.expected: token.identifier
DatabaseConnection.java:10:30: compiler.err.expected: token.identifier
DatabaseConnection.java:10:39: compiler.err.expected: token.identifier
DatabaseConnection.java:10:42: compiler.err.expected: token.identifier
DatabaseConnection.java:10:48: compiler.err.expected: token.identifier
DatabaseConnection.java:10:54: compiler.err.expected: token.identifier
DatabaseConnection.java:10:69: compiler.err.expected: token.identifier
DatabaseConnection.java:10:75: compiler.err.expected: token.identifier
DatabaseConnection.java:10:87: compiler.err.expected: token.identifier
DatabaseConnection.java:10:92: compiler.err.expected: token.identifier
DatabaseConnection.java:11:11: compiler.err.expected: ';'
DatabaseConnection.java:13:17: compiler.err.expected: token.identifier
DatabaseConnection.java:14:20: compiler.err.expected: token.identifier
DatabaseConnection.java:14:30: compiler.err.expected: token.identifier
DatabaseConnection.java:14:39: compiler.err.expected: token.identifier
DatabaseConnection.java:14:42: compiler.err.expected: token.identifier
DatabaseConnection.java:14:48: compiler.err.expected: token.identifier
DatabaseConnection.java:14:54: compiler.err.expected: token.identifier
DatabaseConnection.java:14:69: compiler.err.expected: token.identifier
DatabaseConnection.java:14:75: compiler.err.expected: token.identifier
DatabaseConnection.java:14:87: compiler.err.expected: token.identifier
DatabaseConnection.java:14:93: compiler.err.expected: token.identifier
DatabaseConnection.java:14:117: compiler.err.expected: token.identifier
51 errors
