tool_name,scenario_id,execution_status,status_detail,started_at_utc,finished_at_utc,duration_seconds,exit_code,timeout_seconds,command_json,working_directory,stdout_path,stderr_path,raw_output_path,normalized_output_path,tool_version,tool_artifact_sha256,java_version,python_version,operating_system,architecture,input_checksums_json,oracle_checksum,raw_output_checksum,normalized_output_checksum
FSTMerge,scenario_1,completed_clean,process completed with a readable output tree,2026-08-12T22:27:48Z,2026-08-12T22:27:49Z,0.600557,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_1/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_1/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_1/stdout.log,attempts/FSTMerge/scenario_1/stderr.log,attempts/FSTMerge/scenario_1/raw_output,attempts/FSTMerge/scenario_1/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116"", ""left"": ""b0f3c856e5c7af452ec8acfdfcee9f69f8539eef6d2ad3a3bdfb29e7618f1a4a"", ""right"": ""0a6a34d0a5953c98b15df2a69759bc8f266b3422bb7f52818bec6f4ad54e1326""}",0a6a34d0a5953c98b15df2a69759bc8f266b3422bb7f52818bec6f4ad54e1326,acec10b5798a9d3b94b2e33a256c765a826b7d26a297d69d32e9b571edba0beb,acec10b5798a9d3b94b2e33a256c765a826b7d26a297d69d32e9b571edba0beb
FSTMerge,scenario_5,completed_clean,process completed with a readable output tree,2026-08-12T22:27:49Z,2026-08-12T22:27:49Z,0.238888,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_5/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_5/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_5/stdout.log,attempts/FSTMerge/scenario_5/stderr.log,attempts/FSTMerge/scenario_5/raw_output,attempts/FSTMerge/scenario_5/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116"", ""left"": ""59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26"", ""right"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116""}",e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116,59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26,59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26
FSTMerge,scenario_6,completed_clean,process completed with a readable output tree,2026-08-12T22:27:50Z,2026-08-12T22:27:50Z,0.193966,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_6/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_6/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_6/stdout.log,attempts/FSTMerge/scenario_6/stderr.log,attempts/FSTMerge/scenario_6/raw_output,attempts/FSTMerge/scenario_6/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26"", ""left"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116"", ""right"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116""}",e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116,e615ce9339e59c20c69a5801c6e450e08dcf94418a58d3c4498d5853db523b6f,e615ce9339e59c20c69a5801c6e450e08dcf94418a58d3c4498d5853db523b6f
FSTMerge,scenario_10,completed_clean,process completed with a readable output tree,2026-08-12T22:27:51Z,2026-08-12T22:27:51Z,0.212707,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_10/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_10/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_10/stdout.log,attempts/FSTMerge/scenario_10/stderr.log,attempts/FSTMerge/scenario_10/raw_output,attempts/FSTMerge/scenario_10/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""912cf5b4048ac13af10cea5c90518ae09f0295d870c42bc9801caab4353c24a6"", ""left"": ""b65ef2bb461f845ca476727057dfb7550ef40ff07bc36cd76f5d4b1272fb265f"", ""right"": ""5cddaccbeea94efa3eb1415761038704d8e70c70e4681054d9d651cdfcd5a2d9""}",71948ff734c0e0575627c74a0bcdce74ffda46f4c0c30159ffe3bc3660b2c942,ea2145fb5849ecbcb57b90cb15d1b300d750aae600932388c8abf8fc70929515,ea2145fb5849ecbcb57b90cb15d1b300d750aae600932388c8abf8fc70929515
FSTMerge,scenario_11,completed_clean,process completed with a readable output tree,2026-08-12T22:27:51Z,2026-08-12T22:27:52Z,0.279106,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_11/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_11/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_11/stdout.log,attempts/FSTMerge/scenario_11/stderr.log,attempts/FSTMerge/scenario_11/raw_output,attempts/FSTMerge/scenario_11/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""608a07cc471859c11cf6b18face72210e36c16923b87d2948753fc4038e2a722"", ""left"": ""1f23b193fbb32174dd279187498d4c0502050865e678291a8eb1a502f2b02da3"", ""right"": ""c487f8173167037a067fb308bcf2c72e99d21fece7cd787481f4f0e84e0f454a""}",9c04b84a4b37cfca129ca7178aa9ceb734481697ff1b93aff86aefb73419b4f3,7fd3f67878ca7e3fdb0a50b1d15c100892fd1ca4425315bfaff725808a2c263f,7fd3f67878ca7e3fdb0a50b1d15c100892fd1ca4425315bfaff725808a2c263f
FSTMerge,scenario_17,completed_clean,process completed with a readable output tree,2026-08-12T22:27:52Z,2026-08-12T22:27:53Z,0.20102,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_17/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_17/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_17/stdout.log,attempts/FSTMerge/scenario_17/stderr.log,attempts/FSTMerge/scenario_17/raw_output,attempts/FSTMerge/scenario_17/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116"", ""left"": ""59ad9226195d7afe3c6809fad5ccd548e8dd219edbcd5a74bd53dfd70f8a3d26"", ""right"": ""23e79ab64a7b9236b6ae5710dad99e8a8f3b11e74549af467e1eb00d041552a3""}",e1144e3d3ff87c5049ed6e624cf2e56f9a9bb337a3d790fd77d3dcdcfb9902b3,800ed81a28ff0c1fcbaaade98a40b9e4ce0b81c366fc9aa9d7f004280def5979,800ed81a28ff0c1fcbaaade98a40b9e4ce0b81c366fc9aa9d7f004280def5979
FSTMerge,scenario_23,completed_clean,process completed with a readable output tree,2026-08-12T22:27:53Z,2026-08-12T22:27:53Z,0.258284,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_23/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_23/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_23/stdout.log,attempts/FSTMerge/scenario_23/stderr.log,attempts/FSTMerge/scenario_23/raw_output,attempts/FSTMerge/scenario_23/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""0458cf6966780a497d42674de5d4301f9d25f28a6f0346c2c9f3abed0163fdd8"", ""left"": ""610623d91ca02dbf6435ff57e923a59f574cf8135127fe4f5eb6d15d415478d8"", ""right"": ""fa8a23a02e64bf3c23073be905dfa75bc30395ccec1e48dd2d1a3b07dd152a9a""}",80391ecd622c7450e5d7f7146d6f872593244639bb74a1e3ba81946e18b5ccde,bd191ac3ca65b6e3be29ceed1b5c665a44a15db52493e050f9b2f965c079ca60,bd191ac3ca65b6e3be29ceed1b5c665a44a15db52493e050f9b2f965c079ca60
FSTMerge,scenario_30,completed_clean,process completed with a readable output tree,2026-08-12T22:27:54Z,2026-08-12T22:27:54Z,0.238494,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_30/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_30/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_30/stdout.log,attempts/FSTMerge/scenario_30/stderr.log,attempts/FSTMerge/scenario_30/raw_output,attempts/FSTMerge/scenario_30/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""3a68a5a1cca5028f2dd3d267763dbdc6dd0c8f41de677c735516cf57f449da08"", ""left"": ""a1dc69e9c2eaffad754555ddb470320cbfdef7d63a5b294d1740ee6096f2ba8c"", ""right"": ""cd38755a2b8db2478dc3101dfa5f8e2a8003c5d4d2667de8ae8b56f12d1f3704""}",a1dc69e9c2eaffad754555ddb470320cbfdef7d63a5b294d1740ee6096f2ba8c,4c2952370ad8e508c61d457b5bf73a9892c3b2429d3eeabe2aae1932e9569c30,4c2952370ad8e508c61d457b5bf73a9892c3b2429d3eeabe2aae1932e9569c30
FSTMerge,scenario_38,completed_clean,process completed with a readable output tree,2026-08-12T22:27:55Z,2026-08-12T22:27:55Z,0.33699,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/FSTMerge/featurehouse-8172415.jar"", ""--expression"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_38/isolated_input/merge.expression"", ""--base-directory"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/FSTMerge/scenario_38/isolated_input""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/FSTMerge/scenario_38/stdout.log,attempts/FSTMerge/scenario_38/stderr.log,attempts/FSTMerge/scenario_38/raw_output,attempts/FSTMerge/scenario_38/normalized_output,81724157bc638524e72af5bb689cf939e6df8599,b70425b557ab3ac20d223febc9b6247cddbd12befa5165067972e95173aed10f,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""0259cd994fc8e3e044fd138427b51f53d46a38c2562eb25af3692da8ad868079"", ""left"": ""21a7e7631639ecc992a98a64446df79a9fedb638c8f6ca5700b4583787913c69"", ""right"": ""346aaac2176fc7d4d590553903db016e79d07b01ffac815985a147df8bb519dc""}",8388ec8d04f9617afe9ef85354101a24c77afcea60038b7df22d218ae9e92d5e,fe4fa444c145a6ffe65b505f4bd6c8516e6a6836f27305e6a74d870fe2d24188,fe4fa444c145a6ffe65b505f4bd6c8516e6a6836f27305e6a74d870fe2d24188
IntelliMerge,scenario_1,invalid_output,no Java artifact was produced,2026-08-12T22:27:56Z,2026-08-12T22:27:57Z,1.23863,0,120,"[""/workspaces/Empirical-Analysis-Of-Merge-Tools/java_dependencies/java-versions/jdk-21.0.11+10/bin/java"", ""-jar"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/merge_tools/IntelliMerge/IntelliMerge-1.0.9-all.jar"", ""-d"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/scenarios_base/IntelliMerge/scenario_1/left"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/scenarios_base/IntelliMerge/scenario_1/base"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/scenarios_base/IntelliMerge/scenario_1/right"", ""-o"", ""/workspaces/Empirical-Analysis-Of-Merge-Tools/evaluation_results/revised_experiment/determinism_high_risk_1/attempts/IntelliMerge/scenario_1/raw_output""]",/workspaces/Empirical-Analysis-Of-Merge-Tools,attempts/IntelliMerge/scenario_1/stdout.log,attempts/IntelliMerge/scenario_1/stderr.log,attempts/IntelliMerge/scenario_1/raw_output,attempts/IntelliMerge/scenario_1/normalized_output,1.0.9,a1bc929f8c5cb2f293b4d7fdd9a9bdf67460cad79c58b5ca052ada44e4df5f0e,"openjdk version ""21.0.11"" 2026-04-21 LTS OpenJDK Runtime Environment Temurin-21.0.11+10 (build 21.0.11+10-LTS)",3.12.1,Linux-6.8.0-1052-azure-x86_64-with-glibc2.39,x86_64,"{""base"": ""e10533d221ba924b2281219a29cb5a3f6d2742065044a45822cd8bd2f6394116"", ""left"": ""b0f3c856e5c7af452ec8acfdfcee9f69f8539eef6d2ad3a3bdfb29e7618f1a4a"", ""right"": ""0a6a34d0a5953c98b15df2a69759bc8f266b3422bb7f52818bec6f4ad54e1326""}",0a6a34d0a5953c98b15df2a69759bc8f266b3422bb7f52818bec6f4ad54e1326,2be69ed4a02f7133a9fef70a67062890c8c56338201b709e9d06781aea2d5ed8,
